,screen name,mentions
703,elizabethkweens,marisha_ray
704,holyflavor,
705,scrb,
706,poliaths,artofnickrobles
707,ily_uwuzi,deerlordhunter
708,beeseverywhere,apollinares
709,Nat20_DiceBox,"penthos, criticalrole"
710,KyleWithAnN,
711,mirandapanda127,laurabaileyvo
712,sweet_danica,
713,MaskedDevera,
714,hyperoats,mhendricksonart
715,Tholgrin,"geonerd, criticalrole"
716,Kurai_Akumu13,
717,SamAvilaClark,iika_4you
718,sbasilotto,"criticalrole, ziforyu"
719,CBeet,
720,LittleBIue,
721,poliaths,artofnickrobles
722,Faeriekirara,migluzart
723,pumatsolpatch,
724,DearyDoe,criticalrole
725,ZeroAggro,retromortis
726,heythistlewitch,
727,settiai,
728,KingsShade,blacksalander
729,CritRoleStats,dndbeyond
730,viet_bit,mhendricksonart
731,maesburke,
732,poliaths,artofnickrobles
733,WagonAgeOregons,
734,GodzillaJon,kellyjoule
735,wretchedweponry,nguevaraart
736,ninefoxed,
737,CRHPStats,"critrolestats, dndbeyond"
738,kisforkairon,"wizards_dnd, criticalrole, matthewmercer"
739,KatWaterflame,"critrolestats, dndbeyond"
740,zacmanning1,orcbarbies
741,StineUncensored,artofnickrobles
742,MissNovaGirl,
743,theHedash,artofnickrobles
744,vieraviglon,sunnyonice
745,gaiusbaltars,
746,bridgettebard,criticalrole
747,beeseverywhere,ruushes
748,settiai,
749,Wally_Wests,
750,Woriick,
751,FiliSosik,larn_draws
752,Bob_Draws,matthewmercer
753,TheAnimeDreamer,theanimedreamer
754,beeseverywhere,"pxelslayer, marisha_ray"
755,D_n_D_n_D,"arsequeef, voiceofobrien, samriegel"
756,MaskedDevera,dndbeyond
757,SamuelTheBelf,
758,liebelemon,aimoahmed
759,raeofsmiles95,
760,KyleWithAnN,
761,NGuevaraArt,"anodesu, voiceofobrien"
762,RaithwallRB,dndbeyond
763,Wally_Wests,
764,AnnVera10,
765,maesburke,
766,jae_gerbomb,
767,Roleplayers_TV,"roleplayers_tv, criticalrole, hyperxesalv"
768,ognachosquirrel,
769,CritRoleStats,
770,KatWaterflame,critrolestats
771,ArseQueef,
772,beeseverywhere,joric_art
773,Wally_Wests,mhendricksonart
774,nothingoskar,
775,fencedforest,"ajillustrate, talksmachina"
